References pollen records,References pollen taxonomy,Reference phytogeographical affinity,References habit,References plant functional types
"Bakker, J., E. Paulissen, D. Kaniewski, J. Poblome, V. De Laet, G. Verstraeten, and M. Waelkens. 2013. Climate, people, fire and vegetation: new insights into vegetation dynamics in the Eastern Mediterranean since the 1st century AD. Climate Past 9:57-87.","Behnke, H. D. (1977). Pollen-exine sculpturing in three Centrospermae (Gisekia, Limeum, Hectorella), in Gyrostemonaceae and Rhabdodendraceae. Plant Systematics and Evolution, 128, 227-235.","Bentvelzen, P. A. J. (1960). Primulaceae. Flora Malesiana-Series 1, Spermatophyta, 6(1), 173-192.","Beentje, H., & Beentje, H. (1989). Flora of Tropical East Africa-Bombacaceae (1989) (Vol. 27). CRC Press.",
"Ballouche, A.; 1992 Dynamique des paysages végétaux sahélo-soudaniens et pratiques agro-pastorales à l_Holocène: exemples du Burkina Faso. Monographies-Bulletin de l_Association de Géographes Français, Paris	","Bezuidenhout, A. (1964). The pollen of the African Podostemataceae. Pollen et Spores, 6(2), 463-478.","Beyschlag, W. (2024). Bryophytes. In: Büdel, B., Friedl, T., Beyschlag, W. (eds) Biology of Algae, Lichens and Bryophytes. Springer Spektrum, Berlin, Heidelberg.","Beier, B. A. (2005). A revision of the desert shrub Fagonia (Zygophyllaceae). Systematics and Biodiversity, 3(3), 221-263.",
"Ballouche, A.; Reille, M.; Thinon, M.; Barakat, H.N., ; Fontugne, M.1995 La végétation holocène des montagnes du Sahara Central: une nouvelle conception Le Thomas & E. Roche (Ed.) Palynologie africaine,CIFEG, Publications occasionnelles, Vol. .31: 9-17","Bonnefille, R. (1971). Atlas des pollens d'Éthiopie. Principales espèces des forêts de montagne. Pollen et Spores, 13(1), 15-72.","Bhattacharjee, R. et al. (2011). Dioscorea. In: Kole, C. (eds) Wild Crop Relatives: Genomic and Breeding Resources. Springer, Berlin, Heidelberg","Bentvelzen, P. A. J. (1960). Primulaceae. Flora Malesiana-Series 1, Spermatophyta, 6(1), 173-192.",
"Baumhauer & Schulz 1984 The Holocene lake of Seguedine, Kaouar, NE-Niger. In book Palaeoecology of Africa (pp.283-290) DOI10.12019780203744512-22","Bonnefille, R., & Riollet, G. (1980). Pollens des savanes d'Afrique orientale (p. 140). Paris: Éditions du Centre National de la Recherche Scientifique.","Borosova, R., Utteridge, T.M.A. & Schuiteman, A.(2021). Taxonomy and morphology of Thalictrum (Ranunculaceae) in New Guineo. Kew Bull 76, 805–817","Berg, C. C., & Hijman, M. E. (1989). Flora of Tropical East Africa-Moraceae (1989).",
"Baumhauer & Schulz 1984 The Holocene lake of Seguedine, Kaouar, NE-Niger. In book Palaeoecology of Africa Vol. 16. (pp.283-290) DOI:10.12019780203744512-22","Bonnefille, R., & Riollet, G. (1980). Pollens des savanes d'Afrique orientale (p. 140). Paris: Éditions du Centre national de la recherche scientifique.","Bramley, Trias-Blasi & Wilford (2023). The Kew Temperate Plant Families Identification Handbook. Kew Publishing Royal Botanic Gardens, Kew","Beveridge, F. C., Kalaipandian, S., Yang, C., & Adkins, S. W. (2022). Fruit biology of coconut (Cocos nucifera L.). Plants, 11(23), 3293.",
"Beffa, G., T. Pedrotta, D. Colombaroli, P.D. Henne, J.F.N. van Leeuwen, P. Süsstrunk, P. Kaltenrieder, C. Adolf, H. Vogel, S. Pasta, F. Anselmetti, E. Gobet, and W. Tinner. 2016. Vegetation and fire history of coastal north-eastern Sardinia (Italy) under changing Holocene climates and land use. Vegetation History and Archaeobotany 25:271-289.","Bonnefille, R., Lobreau, D., & Riollet, G. (1982). Fossil pollen of Ximenia (Olacaceae) in the Lower Pleistocene of Olduvai, Tanzania: Palaeoecological implications. Journal of Biogeography, 469-486.","Brenan, J.P.M. (1953) Flora of Tropical East Africa: Trapaceae. London: Crown Agents for Overseas Governments &? Administrations. 4 pp. ISBN 978-1-84246-322-2","Bidgood, S., Verdcourt, B., & Vollesen, K. (2006). Bignoniaceae (Vol. 241, Flora of Tropical East Africa, Angiospermae). Published on behalf of the East African governments by Royal Botanic Gardens, Kew. ISBN: 1842461516, 9781842461518.",
"Ben Tiba, B. 1987. Recherches pollenanalytiques à Djebel El Ghorra, Tunisie septentrionale : premières approches. Agronomie et Horticulture 2:57-60.
","Borsch, T. (1998). Pollen types in the Amaranthaceae. Morphology and evolutionary significance. Grana, 37(3), 129-142.","Bridson, D. M. (1986). The reinstatement of the African genus Keetia (Rubiaceae subfam. Cinchonoideae, tribe Vanguerieae). Kew bulletin, 965-994.","Borosova, R., Utteridge, T. M. A., & Schuiteman, A. (2021). Taxonomy and morphology of Thalictrum (Ranunculaceae) in New Guinea. Kew Bulletin, 76, 805-817. https://doi.org/10.1007/s12225-021-09972-1",
"Bonnefille, R., & Hamilton, A. C. (1986). Quaternary and Late Tertiary history of Ethiopian vegetation. Acta Universitatis Upsaliensis, Symbolae Botanicae Upsalienses, 26(2), 48–63.","Burgaz Moreno, M.E. (1989). Palinología de las Papaveraceae valencianas. Tesis de Licenciatura. Universidad de Valencia.","Brignone, N. F. (2022). Taxonomic study of Cardionema (Caryophyllaceae, Paronychioideae) for the Argentinean flora.","Bramley, Trias-Blasi & Wilford (2023). The Kew Temperate Plant Families Identification Handbook. Kew Publishing Royal Botanic Gardens, Kew",
"Bonnefille, R., and G. Riollet. 1988. Palynologie des sédiments Holocènes de sites archéologiques du Quatar. Pages 137-145 in M.L. Inizan, editor. Préhistoire à Quatar, Recherche sur les civilisations. Volume 2.","Campbell, L. M. (2012). Pollen morphology of Xyridaceae (Poales) and its systematic potential. Botanical Review, 428-439.","Carbone, K., & Gervasi, F. (2022). An updated review of the genus Humulus: a valuable source of bioactive compounds for health and disease prevention. Plants, 11(24), 3434.","Bridson, D. M. (1986). The reinstatement of the African genus Keetia (Rubiaceae subfam. Cinchonoideae, tribe Vanguerieae). Kew bulletin, 965-994.",
"Bonnefille, R.; Hamilton, A.C. 1986 Quaternary and Late Tertiary history of ethiopian vegetation. Acta Univ. Symb. Bot. Ups.","Cao, M., Zhang, D. X., Shah, A., & Dong, L. (2014). Pollen morphology and its systematic significance in Zanthoxylum (Rutaceae) from China. Pakistan Journal of Botany, 46(4), 1325-1330.","Carlson, S. E. (2010). Morphological innovation, dispersal, and diversification in the plant clade Dipsacaceae (Dipsacales). Yale University.","Bridson, D. M., & Verdcourt, B. (2003). Flora Zambesiaca 5 (3): Rubiaceae, Part 3. royal Botanic Gardens.",
"Bonnefille, R.; Lézine, A.-M. 1981. Evolution des climats dans les zones intertropicales d'Afrique orientale. R&D programme in the fiel of environ, climatology sub-programme, contact group ""Reconstitution of past climates"". Extended abstract. ","Carrión, J. S. (2002). A taphonomic study of modern pollen assemblages from dung and surface sediments in arid environments of Spain. Review of Palaeobotany and Palynology, 120(3-4), 217-232.","Carneiro, M. R. B., Sallum, L. O., Martins, J. L. R., Peixoto, J. D. C., Napolitano, H. B., & Rosseto, L. P. (2023). Overview of the Justicia genus: insights into its chemical diversity and biological potential. Molecules, 28(3), 1190.","Brignone, N. F. (2022). Taxonomic study of Cardionema (Caryophyllaceae, Paronychioideae) for the Argentinean flora.",
"Bonnefille, R.; Lézine, A.-M. 1984. Environnement végétal du Rift éthiopien au Quaternaire récent d'après l'étude palynologique du sondage du lac Abiyata. Revue de Paléobiologie, volume spécial.
","Çelemli, Ö. G. (2022). Characterization of palynological features of Cyclamen species native to Turkey and new approaches for their systematic significance. Palynology, 46(1), 1-11.","Carrion, J. S., Delgado, M. J., & Garcia, M. (1993). Pollen grain morphology of Coris (Primulaceae). Plant systematics and evolution, 184, 89-100.","Brummitt, R. K., Chikuni, A. C., Lock, J. M., & Polhill, R. M. (2007). Leguminosae, subfamily Caesalpinioideae. Flora Zambesiaca, 3(part 2), 1-228.",
"Bonnefille, R.; Riollet, G. 1988 Palynologie des sédiments Holocènes de sites archéologiques du Quatar. In: Inizan M.-L. (Ed). Préhistoire à Quatar, Recherche sur les civilisations (Eds) 2. ","Ceter, T., Ekici, M., Pinar, N. M., & Ozbek, F. (2013). Pollen morphology of Astragalus L. section Hololeuce Bunge (Fabaceae) in Turkey. Acta Botanica Gallica, 160(1), 43-52.","Carta, A., Savio, L., Bedini, G., Peruzzi, L., Fisogni, A., & Galloni, M. (2016). All in an afternoon: mixed breeding system in one-day lasting flowers of Hypericum elodes L.(Hypericaceae). Plant Biosystems-An International Journal Dealing with all Aspects of Plant Biology, 150(5), 1001-1009.","Bruza, J. D. (1982). A revision of the Diodia teres complex (Rubiaceae). Mississippi State University.",
"Bordon, A., O. Peyron, A.M. Lezine, S. Brewer, and E. Fouache. 2009. Pollen-inferred Late-Glacial and Holocene climate in southern Balkans (Lake Maliq). Quaternary International 200:19-30.","Chakraborty, P., Gupta-Bhattacharya, S., Roy, I., & Chanda, S. (2004). Identification of shared allergenic components from four common and dominant pollen taxa of Arecaceae. Current Science, 1539-1543.","Carter, S., & Smith, A. R. (2020). Flora of Tropical East Africa-Euphorbiac v2 (1988). CRC Press.","Carbone, K., & Gervasi, F. (2022). An updated review of the genus Humulus: a valuable source of bioactive compounds for health and disease prevention. Plants, 11(24), 3434.",
"Bottema, S. 1974. Late Quaternary vegetation history of northwestern Greece. Doctoral dissertation. University of Groningen, Groningen, The Netherlands.","Dapena, M. J. D., & Ferguson, I. K. (1990). Studies of the pollen morphology and taxonomy of the tribes Loteae and Coronilleae (Leguminosae: Papilionoideae). 1. Anthyllis L. and related genera. Lagascalia, 16(1), 77-94.","Castroviejo, S., Aedo, C., Cirujano, S., Laínz, M., Montserrat, P., Morales, R., Muñoz Garmendia, F., Navarro, C., Paiva, J. & Soriano, C. (eds.). 1993. Flora iberica vol. CXLVI GLOBULARIACEAE. Real Jardín Botánico, CSIC, Madrid.","Carlquist, S. (1970). Wood anatomy of Echium (Boraginaceae). Aliso: A Journal of Systematic and Floristic Botany, 7(2), 183-199.",
"Bottema, S. 1982. Palynological investigations in Greece with special reference to pollen as indicator of human activity. Palaeohistoria 24:257-289.","Davidson, C. (1973). An anatomical and morphological study of Datiscaceae. Aliso: A Journal of Systematic and Floristic Botany, 8(1), 49-110.","Castroviejo, S., Aedo, C., Cirujano, S., Laínz, M., Montserrat, P., Morales, R., Muñoz Garmendia, F., Navarro, C., Paiva, J. & Soriano, C. (eds.). 1993. Flora iberica vol. LXXXVII. Real Jardín Botánico, CSIC, Madrid.","Carta, A., Savio, L., Bedini, G., Peruzzi, L., Fisogni, A., & Galloni, M. (2016). All in an afternoon: mixed breeding system in one-day lasting flowers of Hypericum elodes L.(Hypericaceae). Plant Biosystems-An International Journal Dealing with all Aspects of Plant Biology, 150(5), 1001-1009.",
"Bottema, S., and H. Woldring. 1984. Late Quaternary vegetation and climate of southwestern Turkey. Part II. Palaeohistoria 26:123-149.","de Block, P., & Robbrecht, E. (1998). Pollen morphology of the Pavetteae (Rubiaceae, Ixoroideae) and its taxonomic significance. Grana, 37(5), 260-275.","Chaudhri, M. N. (1968). A revision of the Paronychiinae. Mededelingen van het Botanisch Museum en Herbarium van de Rijksuniversiteit te Utrecht, 285(1), 3-440.","Castroviejo, S., Aedo, C., Cirujano, S., Laínz, M., Montserrat, P., Morales, R., Muñoz Garmendia, F., Navarro, C., Paiva, J., & Soriano, C. (Eds.). (1993). Flora iberica (Vol. 4). Real Jardín Botánico, CSIC.",
"Brauer, A., J.R.M. Allen, J. Mingram, P. Dulski, S. Wulf, and B. Huntley. 2007. Evidence for last interglacial chronology and environmental change from Southern Europe. Proceedings of the National Academy of Sciences of the United States of America 104(2):450-455. [DOI: 10.1073/pnas.0603321104]","De Paz, J. P. (2004). Rosaceae-Sanguisorbeae de Macaronesia: Géneros Marcetella, Bencomia y Dendriopoterium. Palinología, biogeografía, sistemas sexuales y filogenia. Bot Macaronesica, 25, 95-126.","Chawla, R., Kumar, S., & Sharma, A. (2012). The genus Clematis (Ranunculaceae): chemical and pharmacological perspectives. Journal of ethnopharmacology, 143(1), 116-150.","Castroviejo, S., Aedo, C., Cirujano, S., Laínz, M., Montserrat, P., Morales, R., Muñoz Garmendia, F., Navarro, C., Paiva, J., & Soriano, C. (Eds.). (1997). Flora iberica (Vol. 5). Real Jardín Botánico, CSIC.",
"Burjachs Casas, F., and I. Expósito. 2015. Charcoal and pollen analysis: Examples of Holocene fire dynamics in Mediterranean Iberian Peninsula. Catena 135:340-349.","Dessein, S., Huysmans, S., Robbrecht, E., & Smets, E. (2002). Pollen of African Spermacoce species (Rubiaceae) morphology and evolutionary aspects. Grana, 41(2), 69-89.","Chen, JF., Zhou, XH. (2011). Cucumis. In: Kole, C. (eds) Wild Crop Relatives: Genomic and Breeding Resources. Springer, Berlin, Heidelberg.","Castroviejo, S., Aedo, C., Cirujano, S., Laínz, M., Montserrat, P., Morales, R., Muñoz Garmendia, F., Navarro, C., Paiva, J., & Soriano, C. (Eds.). (1998). Flora iberica (Vol. 6). Real Jardín Botánico, CSIC.",
"Burjachs Casas, F., R.P. Pérez-Obiol, L. Picornell-Gelabert, J. Revelles-López, G. Servera-Vives, I. Expósito, and E.I. Yll. 2017. Overview of environmental changes and human colonization in the Balearic Islands (Western Mediterranean) and their impacts on vegetation composition during the Holocene. Journal of Archaeological Science: Reports 12:845-859.",Dickison WC. 1979. A survey of pollen morphology of the Connaraceae. Pollen Spores 21: 31–79.,"Chung, K. S. (2008). A systematic study of genus Agrimonia (Rosaceae). The University of Oklahoma.","Castroviejo, S., Aedo, C., Cirujano, S., Laínz, M., Montserrat, P., Morales, R., Muñoz Garmendia, F., Navarro, C., Paiva, J., & Soriano, C. (Eds.). (2001). Flora iberica (Vol. 14). Real Jardín Botánico, CSIC.",
"Burjachs Casas, F., S.E. Jones, S. Giralt, and J. Fernández-López de Pablo. 2016. Lateglacial to Early Holocene recursive aridity events in the SE Mediterranean Iberian Peninsula: The Salines playa lake case study. Quaternary International 403:187-200.","Dickison, W. C., Nowicke, J. W., & Skvarla, J. J. (1982). Pollen morphology of the Dilleniaceae and Actinidiaceae. American Journal of Botany, 69(7), 1055-1073.","Cook, C. D., Gut, B. J., Rix, E. M., & Schneller, J. (1974). Water plants of the world: a manual for the identification of the genera of freshwater macrophytes. Springer Science & Business Media.","Castroviejo, S., Aedo, C., Cirujano, S., Laínz, M., Montserrat, P., Morales, R., Muñoz Garmendia, F., Navarro, C., Paiva, J., & Soriano, C. (Eds.). (2012). Flora iberica (Vol. 11). Real Jardín Botánico, CSIC.",
"Campbell, J.F.E., W.J. Fletcher, S. Joannin, P.D.M. Hughes, M. Rhanem, and C. Zielhofer. 2017. Environmental Drivers of Holocene Forest Development in the Middle Atlas, Morocco. Frontiers in Ecology and Evolution 5(113):1-22.","Díez Dapena, M. J. (1981). Estudio palinológico de las especies españolas de la familia boraginaceae. Tesis Doctoral. Universidad de Sevilla ","Crandall-Stotler, B., Stotler, R. E., & Long, D. G. (2009). Phylogeny and classification of the Marchantiophyta. Edinburgh journal of botany, 66(1), 155-198.","Castroviejo, S., Aedo, C., Cirujano, S., Laínz, M., Montserrat, P., Morales, R., Muñoz Garmendia, F., Navarro, C., Paiva, J., & Soriano, C. (Eds.). (2015). Flora iberica (Vol. 9). Real Jardín Botánico, CSIC.",
"Cerrillo-Cuenca, E., and A. González-Cordero. 2011. Burial prehistoric caves in the interior basin of river Tagus: the complex at Canaleja gorge (Romangordo, Caceres, Spain). BAR International Series 2219:21-42..","Díez, M. J., & Ferguson, I. K. (1996). Studies of the pollen morphology and taxonomy of the tribes Loteae and Coronilleae (Papilionoideae; Leguminoseae). 3, Coronilla L. and related genera and systematic conclusions. Review of Palaeobotany and Palynology, 94(3-4), 239-257.","Crockett, S. L., & Robson, N. K. (2011). Taxonomy and chemotaxonomy of the genus Hypericum. Medicinal and aromatic plant science and biotechnology, 5(Special Issue 1), 1.","Chambel, M.R., Climent, J., Pichot, C., Ducci, F. (2013). Mediterranean Pines (Pinus halepensis Mill. and brutia Ten.). In: Pâques, L. (eds) Forest Tree Breeding in Europe. Managing Forest Ecosystems, vol 25. Springer, Dordrecht. https://doi.org/10.1007/978-94-007-6146-9_5
",
"Chateauneuf, J.J.; Faure, H.; Lézine, A.M. 1986 Facteurs contrôlant la genèse et la destruction des tourbes tropicales du littoral ouest africain. Document du Bureau de Recherches Géologiques et Minières. Vol. 110: 77-91","Dunbar, A. (1975). On pollen of Campanulaceae and related families with special reference to the surface ultrastructure. I. Campanulaceae Subfam. Campanuloidae. families with special reference to the surface ultrastructureII. Campanulaceae subfam. Cyphioideae  and subfam. Lobelioideae; Goodeniaceae; Sphenocleaceae. Bot. Not. 128: 102–118.","Cusma-Velari, T., & Feoli-Chiapella, L. (2009). The so-called primitive genera of Genisteae (Fabaceae): systematic and phyletic considerations based on karyological data. Botanical Journal of the Linnean Society, 160(2), 232-248.","Chaudhri, M. N. (1968). A revision of the Paronychiinae. Mededelingen van het Botanisch Museum en Herbarium van de Rijksuniversiteit te Utrecht, 285(1), 3-440.",
"Cheddadi, R., A.J. Henrot, L. François, F. Boyer, M.B. Bush, M. Carré, E. Coissac, P.E. De Oliveira, F. Ficetola, A. Hambuckers, K. Huang, A.M. Lezine, M. Nourelbait, A. Rhoujjati, P. Taberlet, F. Sarmiento, D. Abel-Schaad, F. Alba-Sánchez, and Z. Zheng. 2017. Microrefugia, Climate Change, and Conservation of Cedrus atlantica in Rif Mountains, Morocco. Frontiers in Ecology and Evolutions 5(114):1-115.","Dutra, F. V., Bellonzi, T. K., de Souza, C. N., & Gasparino, E. C. (2020). Pollen morphology of Rubiaceae from Cerrado forest fragments: pollen unit, polarity and diversity of the types of apertures. Review of Palaeobotany and Palynology, 282, 104297.","Dahl, Å. E. (1990). Infrageneric division of the genus Hypecoum (Papaveraceae). Nordic journal of botany, 10(2), 129-140.","Cheek, M., & Dorr, L. J. (2007). Sterculiaceae. Flora of Tropical East Africa. Royal Botanic Gardens, Kew.",
"Cheddadi, R., M. Nourelbait, O. Bouaissa, J. Tabel, A. Rhoujjati, J.A. López-Sáez, F. Alba-Sánchez, C. Khater, A. Ballouche, L. Dezileau, and H.F. Lamb. 2015. A History of Human Impact on Moroccan Mountain Landscapes. African Archaeological Review 32:233-248.","El Ghazali, G. E. B. (1993). A study on the pollen flora of Sudan. Review of Palaeobotany and Palynology, 76, 99-345.","Dahlgren, R. M., Clifford, H. T., & Yeo, P. F. (2012). The families of the monocotyledons: structure, evolution, and taxonomy. Springer Science & Business Media. Chicago","Chung, K. S. (2008). A systematic study of genus Agrimonia (Rosaceae). The University of Oklahoma.",
"Cheddadi, R., O. Bouaissa, A. Rhoujjati, and L. Dezileau. 2016. Environmental changes in the Moroccan western Rif mountains over the last 9,000 years. Quaternaire 27(1):15-25.","El Naggar, S., & El-Husseini, N. (2001). Pollen Atlas of the Flora of Egypt. 2. Species of Polygonaceae. Taeckholmia, 21(1), 143-151.","Dai, X., Li, X., Song, X., Li, X., & Liu, X. (2021). The evolutionary history and phylogeographic pattern of Hippuris vulgaris: hybridization and long-distance dispersal from China. Plant Systematics and Evolution, 307, 1-8.","Coimbra, A. T., Ferreira, S., & Duarte, A. P. (2020). Genus Ruta: A natural source of high value products with biological and pharmacological properties. Journal of ethnopharmacology, 260, 113076.",
